structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"46,97","58,97","58,107","46,107",MAISON
MAISON_1,"84,59","96,59","96,69","84,69",MAISON
MAISON_2,"159,64","171,64","171,74","159,74",MAISON
BUNGALOW_3,"56,12","67,12","67,19","56,19",BUNGALOW
BUNGALOW_4,"160,40","171,40","171,47","160,47",BUNGALOW
BUNGALOW_5,"64,147","75,147","75,154","64,154",BUNGALOW
BUNGALOW_6,"113,33","124,33","124,40","113,40",BUNGALOW
BUNGALOW_7,"47,28","58,28","58,35","47,35",BUNGALOW
EENGEZINSWONING_8,"22,71","30,71","30,79","22,79",EENGEZINSWONING
EENGEZINSWONING_9,"122,64","130,64","130,72","122,72",EENGEZINSWONING
EENGEZINSWONING_10,"72,118","80,118","80,126","72,126",EENGEZINSWONING
EENGEZINSWONING_11,"102,18","110,18","110,26","102,26",EENGEZINSWONING
EENGEZINSWONING_12,"26,89","34,89","34,97","26,97",EENGEZINSWONING
EENGEZINSWONING_13,"153,112","161,112","161,120","153,120",EENGEZINSWONING
EENGEZINSWONING_14,"106,118","114,118","114,126","106,126",EENGEZINSWONING
EENGEZINSWONING_15,"11,115","19,115","19,123","11,123",EENGEZINSWONING
EENGEZINSWONING_16,"150,86","158,86","158,94","150,94",EENGEZINSWONING
EENGEZINSWONING_17,"97,3","105,3","105,11","97,11",EENGEZINSWONING
EENGEZINSWONING_18,"3,40","11,40","11,48","3,48",EENGEZINSWONING
EENGEZINSWONING_19,"120,5","128,5","128,13","120,13",EENGEZINSWONING
networth,11634180,,,,
