structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_2,"97,143","109,143","109,153","97,153",MAISON
MAISON_4,"52,39","64,39","64,49","52,49",MAISON
MAISON_5,"99,113","111,113","111,123","99,123",MAISON
BUNGALOW_7,"83,52","94,52","94,59","83,59",BUNGALOW
BUNGALOW_8,"123,123","134,123","134,130","123,130",BUNGALOW
BUNGALOW_9,"100,39","111,39","111,46","100,46",BUNGALOW
BUNGALOW_10,"123,4","134,4","134,11","123,11",BUNGALOW
BUNGALOW_11,"130,58","141,58","141,65","130,65",BUNGALOW
EENGEZINSWONING_21,"151,108","159,108","159,116","151,116",EENGEZINSWONING
EENGEZINSWONING_28,"4,54","12,54","12,62","4,62",EENGEZINSWONING
EENGEZINSWONING_37,"2,32","10,32","10,40","2,40",EENGEZINSWONING
EENGEZINSWONING_8,"133,94","141,94","141,102","133,102",EENGEZINSWONING
BUNGALOW_9,"158,72","169,72","169,79","158,79",BUNGALOW
EENGEZINSWONING_11,"49,129","57,129","57,137","49,137",EENGEZINSWONING
EENGEZINSWONING_29,"137,41","145,41","145,49","137,49",EENGEZINSWONING
EENGEZINSWONING_21,"167,93","175,93","175,101","167,101",EENGEZINSWONING
BUNGALOW_6,"72,81","83,81","83,88","72,88",BUNGALOW
EENGEZINSWONING_95,"166,37","174,37","174,45","166,45",EENGEZINSWONING
EENGEZINSWONING_30,"67,149","75,149","75,157","67,157",EENGEZINSWONING
EENGEZINSWONING_338,"12,116","20,116","20,124","12,124",EENGEZINSWONING
EENGEZINSWONING_385,"142,119","150,119","150,127","142,127",EENGEZINSWONING
EENGEZINSWONING_426,"71,130","79,130","79,138","71,138",EENGEZINSWONING
EENGEZINSWONING_513,"48,6","56,6","56,14","48,14",EENGEZINSWONING
EENGEZINSWONING_545,"137,68","145,68","145,76","137,76",EENGEZINSWONING
BUNGALOW_581,"67,106","78,106","78,113","67,113",BUNGALOW
EENGEZINSWONING_661,"40,82","48,82","48,90","40,90",EENGEZINSWONING
EENGEZINSWONING_843,"37,103","45,103","45,111","37,111",EENGEZINSWONING
MAISON_3,"84,9","96,9","96,19","84,19",MAISON
EENGEZINSWONING_1161,"168,117","176,117","176,125","168,125",EENGEZINSWONING
MAISON_1650,"7,77","19,77","19,87","7,87",MAISON
EENGEZINSWONING_1694,"114,42","122,42","122,50","114,50",EENGEZINSWONING
EENGEZINSWONING_3815,"2,115","10,115","10,123","2,123",EENGEZINSWONING
EENGEZINSWONING_3882,"17,102","25,102","25,110","17,110",EENGEZINSWONING
EENGEZINSWONING_4742,"26,119","34,119","34,127","26,127",EENGEZINSWONING
EENGEZINSWONING_6974,"26,33","34,33","34,41","26,41",EENGEZINSWONING
EENGEZINSWONING_7459,"126,140","134,140","134,148","126,148",EENGEZINSWONING
BUNGALOW_7506,"52,62","63,62","63,69","52,69",BUNGALOW
EENGEZINSWONING_31,"48,148","56,148","56,156","48,156",EENGEZINSWONING
MAISON_8121,"102,83","114,83","114,93","102,93",MAISON
BUNGALOW_9157,"28,57","39,57","39,64","28,64",BUNGALOW
networth,23664930,,,,
