structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"43,48","55,48","55,58","43,58",MAISON
EENGEZINSWONING_10,"4,32","12,32","12,40","4,40",EENGEZINSWONING
EENGEZINSWONING_11,"161,62","169,62","169,70","161,70",EENGEZINSWONING
EENGEZINSWONING_12,"77,7","85,7","85,15","77,15",EENGEZINSWONING
BUNGALOW_0,"78,107","89,107","89,114","78,114",BUNGALOW
BUNGALOW_10,"93,3","104,3","104,10","93,10",BUNGALOW
EENGEZINSWONING_11,"118,143","126,143","126,151","118,151",EENGEZINSWONING
EENGEZINSWONING_12,"55,86","63,86","63,94","55,94",EENGEZINSWONING
EENGEZINSWONING_54,"121,55","129,55","129,63","121,63",EENGEZINSWONING
EENGEZINSWONING_250,"47,146","55,146","55,154","47,154",EENGEZINSWONING
EENGEZINSWONING_325,"168,43","176,43","176,51","168,51",EENGEZINSWONING
MAISON_1058,"7,54","19,54","19,64","7,64",MAISON
EENGEZINSWONING_506,"47,2","55,2","55,10","47,10",EENGEZINSWONING
MAISON_1,"161,99","173,99","173,109","161,109",MAISON
EENGEZINSWONING_294,"61,59","69,59","69,67","61,67",EENGEZINSWONING
BUNGALOW_244,"4,108","15,108","15,115","4,115",BUNGALOW
EENGEZINSWONING_130,"125,30","133,30","133,38","125,38",EENGEZINSWONING
EENGEZINSWONING_32,"92,44","100,44","100,52","92,52",EENGEZINSWONING
BUNGALOW_6415,"61,31","72,31","72,38","61,38",BUNGALOW
BUNGALOW_7283,"94,77","105,77","105,84","94,84",BUNGALOW
networth,16035510,,,,
