structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"6,32","18,32","18,42","6,42",MAISON
MAISON_1,"160,141","172,141","172,151","160,151",MAISON
MAISON_2,"161,32","173,32","173,42","161,42",MAISON
BUNGALOW_3,"44,145","55,145","55,152","44,152",BUNGALOW
BUNGALOW_4,"3,145","14,145","14,152","3,152",BUNGALOW
BUNGALOW_5,"23,145","34,145","34,152","23,152",BUNGALOW
BUNGALOW_6,"49,135","60,135","60,142","49,142",BUNGALOW
BUNGALOW_7,"32,135","43,135","43,142","32,142",BUNGALOW
EENGEZINSWONING_8,"21,134","29,134","29,142","21,142",EENGEZINSWONING
EENGEZINSWONING_9,"2,134","10,134","10,142","2,142",EENGEZINSWONING
EENGEZINSWONING_10,"53,124","61,124","61,132","53,132",EENGEZINSWONING
EENGEZINSWONING_11,"41,124","49,124","49,132","41,132",EENGEZINSWONING
EENGEZINSWONING_12,"31,124","39,124","39,132","31,132",EENGEZINSWONING
EENGEZINSWONING_13,"13,124","21,124","21,132","13,132",EENGEZINSWONING
EENGEZINSWONING_14,"2,124","10,124","10,132","2,132",EENGEZINSWONING
EENGEZINSWONING_15,"55,113","63,113","63,121","55,121",EENGEZINSWONING
EENGEZINSWONING_16,"43,114","51,114","51,122","43,122",EENGEZINSWONING
EENGEZINSWONING_17,"31,114","39,114","39,122","31,122",EENGEZINSWONING
EENGEZINSWONING_18,"2,114","10,114","10,122","2,122",EENGEZINSWONING
EENGEZINSWONING_19,"12,114","20,114","20,122","12,122",EENGEZINSWONING
networth,17580150,,,,
