structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"79,100","91,100","91,110","79,110",MAISON
MAISON_1,"158,117","170,117","170,127","158,127",MAISON
MAISON_2,"51,137","63,137","63,147","51,147",MAISON
MAISON_3,"113,139","125,139","125,149","113,149",MAISON
MAISON_4,"85,41","97,41","97,51","85,51",MAISON
MAISON_5,"101,89","113,89","113,99","101,99",MAISON
MAISON_6,"121,42","133,42","133,52","121,52",MAISON
MAISON_7,"36,89","48,89","48,99","36,99",MAISON
MAISON_8,"43,53","55,53","55,63","43,63",MAISON
BUNGALOW_9,"129,104","140,104","140,111","129,111",BUNGALOW
BUNGALOW_10,"47,12","58,12","58,19","47,19",BUNGALOW
BUNGALOW_11,"142,75","153,75","153,82","142,82",BUNGALOW
BUNGALOW_12,"99,121","110,121","110,128","99,128",BUNGALOW
BUNGALOW_13,"158,61","169,61","169,68","158,68",BUNGALOW
BUNGALOW_14,"27,117","38,117","38,124","27,124",BUNGALOW
BUNGALOW_15,"58,74","69,74","69,81","58,81",BUNGALOW
BUNGALOW_16,"8,35","19,35","19,42","8,42",BUNGALOW
BUNGALOW_17,"34,107","45,107","45,114","34,114",BUNGALOW
BUNGALOW_18,"82,71","93,71","93,78","82,78",BUNGALOW
BUNGALOW_19,"126,116","137,116","137,123","126,123",BUNGALOW
BUNGALOW_20,"142,49","153,49","153,56","142,56",BUNGALOW
BUNGALOW_21,"105,6","116,6","116,13","105,13",BUNGALOW
BUNGALOW_22,"122,24","133,24","133,31","122,31",BUNGALOW
BUNGALOW_23,"40,73","51,73","51,80","40,80",BUNGALOW
EENGEZINSWONING_24,"57,92","65,92","65,100","57,100",EENGEZINSWONING
EENGEZINSWONING_25,"124,4","132,4","132,12","124,12",EENGEZINSWONING
EENGEZINSWONING_26,"93,136","101,136","101,144","93,144",EENGEZINSWONING
EENGEZINSWONING_27,"99,71","107,71","107,79","99,79",EENGEZINSWONING
EENGEZINSWONING_28,"136,92","144,92","144,100","136,100",EENGEZINSWONING
EENGEZINSWONING_29,"117,68","125,68","125,76","117,76",EENGEZINSWONING
EENGEZINSWONING_30,"160,33","168,33","168,41","160,41",EENGEZINSWONING
EENGEZINSWONING_31,"2,52","10,52","10,60","2,60",EENGEZINSWONING
EENGEZINSWONING_32,"19,79","27,79","27,87","19,87",EENGEZINSWONING
EENGEZINSWONING_33,"166,74","174,74","174,82","166,82",EENGEZINSWONING
EENGEZINSWONING_34,"37,34","45,34","45,42","37,42",EENGEZINSWONING
EENGEZINSWONING_35,"148,34","156,34","156,42","148,42",EENGEZINSWONING
EENGEZINSWONING_36,"9,82","17,82","17,90","9,90",EENGEZINSWONING
EENGEZINSWONING_37,"68,45","76,45","76,53","68,53",EENGEZINSWONING
EENGEZINSWONING_38,"76,138","84,138","84,146","76,146",EENGEZINSWONING
EENGEZINSWONING_39,"103,40","111,40","111,48","103,48",EENGEZINSWONING
EENGEZINSWONING_40,"86,81","94,81","94,89","86,89",EENGEZINSWONING
EENGEZINSWONING_41,"83,16","91,16","91,24","83,24",EENGEZINSWONING
EENGEZINSWONING_42,"93,58","101,58","101,66","93,66",EENGEZINSWONING
EENGEZINSWONING_43,"133,62","141,62","141,70","133,70",EENGEZINSWONING
EENGEZINSWONING_44,"168,88","176,88","176,96","168,96",EENGEZINSWONING
EENGEZINSWONING_45,"85,121","93,121","93,129","85,129",EENGEZINSWONING
EENGEZINSWONING_46,"47,118","55,118","55,126","47,126",EENGEZINSWONING
EENGEZINSWONING_47,"67,123","75,123","75,131","67,131",EENGEZINSWONING
EENGEZINSWONING_48,"10,92","18,92","18,100","10,100",EENGEZINSWONING
EENGEZINSWONING_49,"90,4","98,4","98,12","90,12",EENGEZINSWONING
EENGEZINSWONING_50,"93,146","101,146","101,154","93,154",EENGEZINSWONING
EENGEZINSWONING_51,"15,67","23,67","23,75","15,75",EENGEZINSWONING
EENGEZINSWONING_52,"156,77","164,77","164,85","156,85",EENGEZINSWONING
EENGEZINSWONING_53,"47,30","55,30","55,38","47,38",EENGEZINSWONING
EENGEZINSWONING_54,"23,52","31,52","31,60","23,60",EENGEZINSWONING
EENGEZINSWONING_55,"67,3","75,3","75,11","67,11",EENGEZINSWONING
EENGEZINSWONING_56,"105,53","113,53","113,61","105,61",EENGEZINSWONING
EENGEZINSWONING_57,"3,115","11,115","11,123","3,123",EENGEZINSWONING
EENGEZINSWONING_58,"102,18","110,18","110,26","102,26",EENGEZINSWONING
EENGEZINSWONING_59,"53,105","61,105","61,113","53,113",EENGEZINSWONING
networth,27718680,,,,
