structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"50,44","130,44","130,116","50,116",WATER
MAISON_0,"6,6","18,6","18,16","6,16",MAISON
MAISON_1,"160,141","172,141","172,151","160,151",MAISON
MAISON_2,"161,6","173,6","173,16","161,16",MAISON
MAISON_3,"6,141","18,141","18,151","6,151",MAISON
MAISON_4,"83,6","95,6","95,16","83,16",MAISON
MAISON_5,"37,73","49,73","49,83","37,83",MAISON
BUNGALOW_6,"79,141","90,141","90,148","79,148",BUNGALOW
BUNGALOW_7,"130,76","141,76","141,83","130,83",BUNGALOW
BUNGALOW_8,"165,73","176,73","176,80","165,80",BUNGALOW
BUNGALOW_9,"147,73","158,73","158,80","147,80",BUNGALOW
BUNGALOW_10,"132,66","143,66","143,73","132,73",BUNGALOW
BUNGALOW_11,"146,63","157,63","157,70","146,70",BUNGALOW
BUNGALOW_12,"160,63","171,63","171,70","160,70",BUNGALOW
BUNGALOW_13,"130,86","141,86","141,93","130,93",BUNGALOW
BUNGALOW_14,"144,83","155,83","155,90","144,90",BUNGALOW
BUNGALOW_15,"158,83","169,83","169,90","158,90",BUNGALOW
EENGEZINSWONING_16,"134,55","142,55","142,63","134,63",EENGEZINSWONING
EENGEZINSWONING_17,"144,52","152,52","152,60","144,60",EENGEZINSWONING
EENGEZINSWONING_18,"155,52","163,52","163,60","155,60",EENGEZINSWONING
EENGEZINSWONING_19,"166,52","174,52","174,60","166,60",EENGEZINSWONING
EENGEZINSWONING_20,"131,45","139,45","139,53","131,53",EENGEZINSWONING
EENGEZINSWONING_21,"141,42","149,42","149,50","141,50",EENGEZINSWONING
EENGEZINSWONING_22,"151,42","159,42","159,50","151,50",EENGEZINSWONING
EENGEZINSWONING_23,"161,42","169,42","169,50","161,50",EENGEZINSWONING
EENGEZINSWONING_24,"135,32","143,32","143,40","135,40",EENGEZINSWONING
EENGEZINSWONING_25,"129,2","137,2","137,10","129,10",EENGEZINSWONING
EENGEZINSWONING_26,"124,34","132,34","132,42","124,42",EENGEZINSWONING
EENGEZINSWONING_27,"129,17","137,17","137,25","129,25",EENGEZINSWONING
EENGEZINSWONING_28,"145,31","153,31","153,39","145,39",EENGEZINSWONING
EENGEZINSWONING_29,"155,32","163,32","163,40","155,40",EENGEZINSWONING
EENGEZINSWONING_30,"165,32","173,32","173,40","165,40",EENGEZINSWONING
EENGEZINSWONING_31,"139,2","147,2","147,10","139,10",EENGEZINSWONING
EENGEZINSWONING_32,"139,12","147,12","147,20","139,20",EENGEZINSWONING
EENGEZINSWONING_33,"113,35","121,35","121,43","113,43",EENGEZINSWONING
EENGEZINSWONING_34,"119,23","127,23","127,31","119,31",EENGEZINSWONING
EENGEZINSWONING_35,"119,2","127,2","127,10","119,10",EENGEZINSWONING
EENGEZINSWONING_36,"119,12","127,12","127,20","119,20",EENGEZINSWONING
EENGEZINSWONING_37,"102,35","110,35","110,43","102,43",EENGEZINSWONING
EENGEZINSWONING_38,"109,24","117,24","117,32","109,32",EENGEZINSWONING
EENGEZINSWONING_39,"109,2","117,2","117,10","109,10",EENGEZINSWONING
networth,25846530,,,,
