structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"6,32","18,32","18,42","6,42",MAISON
MAISON_1,"161,116","173,116","173,126","161,126",MAISON
MAISON_2,"122,6","134,6","134,16","122,16",MAISON
MAISON_3,"47,141","59,141","59,151","47,151",MAISON
MAISON_4,"6,91","18,91","18,101","6,101",MAISON
MAISON_5,"66,82","78,82","78,92","66,92",MAISON
BUNGALOW_6,"62,3","73,3","73,10","62,10",BUNGALOW
BUNGALOW_7,"67,38","78,38","78,45","67,45",BUNGALOW
BUNGALOW_8,"165,33","176,33","176,40","165,40",BUNGALOW
BUNGALOW_9,"107,50","118,50","118,57","107,57",BUNGALOW
BUNGALOW_10,"107,145","118,145","118,152","107,152",BUNGALOW
BUNGALOW_11,"113,89","124,89","124,96","113,96",BUNGALOW
BUNGALOW_12,"153,67","164,67","164,74","153,74",BUNGALOW
BUNGALOW_13,"104,117","115,117","115,124","104,124",BUNGALOW
BUNGALOW_14,"113,69","124,69","124,76","113,76",BUNGALOW
BUNGALOW_15,"130,50","141,50","141,57","130,57",BUNGALOW
EENGEZINSWONING_16,"134,69","142,69","142,77","134,77",EENGEZINSWONING
EENGEZINSWONING_17,"169,66","177,66","177,74","169,74",EENGEZINSWONING
EENGEZINSWONING_18,"153,54","161,54","161,62","153,62",EENGEZINSWONING
EENGEZINSWONING_19,"166,53","174,53","174,61","166,61",EENGEZINSWONING
EENGEZINSWONING_20,"154,44","162,44","162,52","154,52",EENGEZINSWONING
EENGEZINSWONING_21,"164,43","172,43","172,51","164,51",EENGEZINSWONING
EENGEZINSWONING_22,"88,38","96,38","96,46","88,46",EENGEZINSWONING
EENGEZINSWONING_23,"80,20","88,20","88,28","80,28",EENGEZINSWONING
EENGEZINSWONING_24,"80,2","88,2","88,10","80,10",EENGEZINSWONING
EENGEZINSWONING_25,"67,17","75,17","75,25","67,25",EENGEZINSWONING
EENGEZINSWONING_26,"67,27","75,27","75,35","67,35",EENGEZINSWONING
EENGEZINSWONING_27,"153,34","161,34","161,42","153,42",EENGEZINSWONING
EENGEZINSWONING_28,"90,26","98,26","98,34","90,34",EENGEZINSWONING
EENGEZINSWONING_29,"90,16","98,16","98,24","90,24",EENGEZINSWONING
EENGEZINSWONING_30,"90,2","98,2","98,10","90,10",EENGEZINSWONING
EENGEZINSWONING_31,"102,37","110,37","110,45","102,45",EENGEZINSWONING
EENGEZINSWONING_32,"113,39","121,39","121,47","113,47",EENGEZINSWONING
EENGEZINSWONING_33,"141,38","149,38","149,46","141,46",EENGEZINSWONING
EENGEZINSWONING_34,"124,39","132,39","132,47","124,47",EENGEZINSWONING
EENGEZINSWONING_35,"95,48","103,48","103,56","95,56",EENGEZINSWONING
EENGEZINSWONING_36,"67,48","75,48","75,56","67,56",EENGEZINSWONING
EENGEZINSWONING_37,"78,48","86,48","86,56","78,56",EENGEZINSWONING
EENGEZINSWONING_38,"100,60","108,60","108,68","100,68",EENGEZINSWONING
EENGEZINSWONING_39,"102,71","110,71","110,79","102,79",EENGEZINSWONING
networth,24888090,,,,
