structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"69,86","81,86","81,96","69,96",MAISON
MAISON_1,"63,135","75,135","75,145","63,145",MAISON
MAISON_2,"151,92","163,92","163,102","151,102",MAISON
BUNGALOW_3,"125,58","136,58","136,65","125,65",BUNGALOW
BUNGALOW_4,"117,104","128,104","128,111","117,111",BUNGALOW
BUNGALOW_5,"92,133","103,133","103,140","92,140",BUNGALOW
BUNGALOW_6,"60,54","71,54","71,61","60,61",BUNGALOW
BUNGALOW_7,"122,138","133,138","133,145","122,145",BUNGALOW
EENGEZINSWONING_8,"84,48","92,48","92,56","84,56",EENGEZINSWONING
EENGEZINSWONING_9,"103,8","111,8","111,16","103,16",EENGEZINSWONING
EENGEZINSWONING_10,"66,117","74,117","74,125","66,125",EENGEZINSWONING
EENGEZINSWONING_11,"157,66","165,66","165,74","157,74",EENGEZINSWONING
EENGEZINSWONING_12,"16,60","24,60","24,68","16,68",EENGEZINSWONING
EENGEZINSWONING_13,"49,16","57,16","57,24","49,24",EENGEZINSWONING
EENGEZINSWONING_14,"112,43","120,43","120,51","112,51",EENGEZINSWONING
EENGEZINSWONING_15,"146,53","154,53","154,61","146,61",EENGEZINSWONING
EENGEZINSWONING_16,"10,103","18,103","18,111","10,111",EENGEZINSWONING
EENGEZINSWONING_17,"102,27","110,27","110,35","102,35",EENGEZINSWONING
EENGEZINSWONING_18,"29,71","37,71","37,79","29,79",EENGEZINSWONING
EENGEZINSWONING_19,"119,88","127,88","127,96","119,96",EENGEZINSWONING
networth,11221500,,,,
